First Name,Middle Name,Last Name,Maiden Name,Full Name at Birth,Alternative Name,Birthday,Birthplace,Height,Weight,Zodiac Sign,Sexuality,Religion,Ethnicity,Nationality,Occupation
Zilú,G,Walker,Mortimer,Jennings Lang,"Jimmy, James Lablache Stewart, Stewart Granger","15th February, 1988","Chingford, London, England","5' 0½"" (154 cm)",198lbs (90 kg),Pisces,Bisexual,NA,NA,Panamanian,Consultant
Tobe,Mortimer,Wirkus,Walker,Laura Elena Martínez Herring,Jennings Lang,"7th March, 1980","Springfield, Virginia","5' 9¾"" (177 cm)",204lbs (93 kg),NA,NA,Wiccan,Black,Malaysian,Skiing
Charmian,Walker,Praver,Cruise,Sabine Katharina Lisicki,"Pascal Saint-James, Pascal St James, Pascal Sain James, Pascal Xavier,, Danny Verneuil, Pascal St. John, Dany Verneuille, Pascal St. Clair, Pascal Saint James, Dany Verneuil","1st February, 1978","San Marcos, Texas, USA","6' 1¼"" (186 cm)",249lbs (113 kg),Taurus,Straight,Agnostic,Asian,Zambian,Special Effects
Ossama,Cruise,Sapia-Ruffin,Wittlinger,Sarah Nicole Hardman,"Ro, RoRo","14th May, 1933","Sherman Oaks, CA","7' 1"" (216 cm)",165lbs (75 kg),Gemini,DISPUTED,Presbyterian,OTHER,Lithuanian,Baseball
Maralee,Doran,Doran,Anwar,Katherine Ann Moss,Angelo Boffa,"17th January, 1962","Neuquén, Argentina","5' 8.8976751"" (175 cm)",355lbs (161 kg),Scorpio,Lesbian,Scientology,Middle Eastern,Caymanian,Rugby League
Sistine,Anwar,Gargan,Best,Regé-Jean Page,"Brooke Levi Vincent, Brooke Vincent, Bruk","4th March, 1996",Rouen,"6' 0¾"" (185 cm)",107lbs (49 kg),Sagittarius,Gay,Cult,White,Burkinabe,Football (American)
Maura,Rios,Koç,Soares da Silva,Jeremy Philip Northam,Prince Egon von Fürstenberg,"14th December, 1953","East Oakland Hospital, Oakland, California, USA","5' 2½"" (159 cm)",138lbs (63 kg),Aries,,Congregationalist,Asian/Indian,Mexican,Production Designer
Françoise,Swicord,Alpert,Goodman,Frank Lawton Mokeley,"Harsányi Levente, Levente Harsányi","22nd February, 1994","Tramelan, Switzerland","5' 10"" (178 cm)",109lbs (49 kg),Cancer,,Bahai,Multiracial,British,Farmer
Binnie,Clementine,Regbo,Hardy,Lola Affrica Crichton-Stuart,"Liptai Claudia, Claudia Liptai, Lippai Klaudia, Klaudia Lippai, Liptai Clau, Clau Liptai, Pataki-Liptai Claudia, Claudia Pataki-Liptai","15th May, 1947","Bloomington, Minnesota, United States","6' 5¼"" (196 cm)",98lbs (44 kg),Aquarius,,Rastafarian,Hispanic,Russian,Flight Attendant
Renate,Rukh,Westenberg,Caillon,Martina Subertová,Hirschy,"8th April, 1908",Romania,"5' 1"" (155 cm)",205lbs (93 kg),Libra,,Occult / Thelemite,,Kazakhstani,Astronaut
Zaya,Stephenson,Stephenson,List,Gerard Emil Marenghi,"Candace Chambers, Candice Ball, Candice Chambers, Candida Royalle, Candice Marion Vadala, Candice Vitala, Candita Royalle, Candida Royale, Jeanne Toller, Mary Pearson, Candice, Candace DeCarlo, Kathy Silverman, Bettina Mia, Sharon Lucas, Cyntnia Pleschette, Candice Royalle","1st August, 1967","Hebden Bridge, West Yorkshire, England","6' 9¾"" (208 cm)",106lbs (48 kg),Virgo,,Protestant,,Israeli,"Musician, Musician"
Soo,X.,Wimble,Sequist,Kyle Alexander Kuzma,Orina Krajewska,"15th August, 1941","Nevada, US","5' 3¾"" (162 cm)",238lbs (108 kg),Leo,,Christian Science,,Cuban,Reality TV
Milka,Thanh Thi,Bertelsen,Masson,Thea Megan Trinidad,Nana Rita,"6th March, 1961","Scotland, UK","5' 7"" (170 cm)",385lbs (175 kg),Capricorn,,Roman Catholic,,Iranian,Activist
Mikolaj,Federico Said,Dessi,Sampson,Gethin Clifford Jones,"Okie From Muskogee, Hag, Mighty Merle, Merle Ronald Haggard, Merle Haggard, The Poet of the Common Man, The Hag, ""The Hag""","16th November, 1964","Mar del Plata, Argentina","5' 4¼"" (163 cm)",81lbs (37 kg),,,Unitarian,,Sudanese,Ballet dancer
Furkan,Richard,Babicz,Seyer,Orina Krajewska,"Beco, Harry, Ayrton Senna, Ayrton Senna da Silva","25th March, 1965","Belle Glade, Florida, USA","6' 1"" (185 cm)",222lbs (101 kg),,,Jahovah's Witness,,Paraguayan,Percussionist
Africa,Hardy,Kasikci,Vyacheslavovna Malandina,Débora Lima Falabella,"Edouard de Max, Eduard-Alexandru Max","16th July, 1990","Whittier, CA","6' 0¼"" (184 cm)",227lbs (103 kg),,,Buddhist,,Filipino,Cricket
Gila,Jeetendra,Pensa,Flack,Jillian Marie Warry,Suelyn Medeiros,"6th June, 1875","Nerima, Tokyo, Japan","5' 7½"" (171 cm)",228lbs (103 kg),,,Polish Catholic,,Samoan,Transportation Department
Merwan,Tiger,Naldi,Union,Albert Edward Sutherland,"Nicholas Augustine Knowles, Nicholas Knowles, Nick Knowles","16th March, 1975","South Carolina, USA","4' 9"" (145 cm)",189lbs (86 kg),,,Christian,,Zimbabwean,Victim
Tasheen,Gloria Philomena,Mire,de Souza,Nicholaus Edward Goossen,"Tracy Jo Pollan, Tracy Pollan, Tracy Fox","4th January, 1981","Kuwait City, Kuwait","4' 1"" (124 cm)",103lbs (47 kg),,,Baptist,,Bulgarian,Vocalist
Melyssa,Fernandes Dominique,Sonders,Kunis,Stephanie Ann Dooley,Wendy Moniz-Grillo,"17th January, 1942","Psychiko, Athens, Greece","5' 8"" (173 cm)",192lbs (87 kg),,,Mormon,,Kosovar,Sailor
MacKenzi,Renate,Bern,Adarna,Anna Mae Bullock,"Abby, Abigail Spencer, Abigail Leigh Spencer, Spencer, Abigail","7th December, 1988","Salford, Greater Manchester, England, UK","5' 11¾"" (182 cm)",285lbs (129 kg),,,Jainist,,Haitian,Teacher
Paras,Jefferson,Bune,Accola,Caroline Grant,"Luce Caponegro, Selen De Rosa, Selene","30th January, 1970","St. Mary's Mercy Hospital, Gary, Indiana, USA","5' 2¼"" (158 cm)",261lbs (118 kg),,,Atheist,,Finnish,Biologist
Mickie,Jan,Soo,DeVarona,Lauro David Chartrand,"Kathrynne B. Mylroie, Kate Manx","5th February, 1919","Colorado Springs, Colorado, USA","5' 8½"" (174 cm)",375lbs (170 kg),,,Sikh,,Jordanian,Cheerleader
Neels,Soo,Damaso de Alonso,Buckley,Brandon Chang,Tori Snoddy,"19th February, 1924","Catalan, Spain","6' 3½"" (192 cm)",275lbs (125 kg),,,Eastern Orthodox,,Beninese,Internet Celebrity
Danay,Yasmine,Blanchard,Ribisi,Barbara Nedeljáková,"Tom Doherty, Tommy Doherty, Thommy Doherty, Thomas Doherty, Thomas Anthony Doherty","28th January, 1993","Cali, Cauca, Colombia","5' 9¼"" (176 cm)",226lbs (103 kg),,,Muslim,,Pakistani,Film/TV Producer
Myca,Olivia Leah,Difatta,Locklear,Valeria Bruni,"Usher, Usher Terrence Raymond IV, Usher Terry Raymond IV, Usher Raymond IV, Usher Raymond, Big Tyme","16th September, 1986","Aquitaine, France","6' 10"" (208 cm)",229lbs (104 kg),,,Other,,Estonian,Track and Field
Bregje,'Duke',Cornell,Reynes,Suelyn Medeiros,"Kel Calderon, Kel","27th February, 1989","Anaheim, CA, USA","4' 7"" (140 cm)",191lbs (87 kg),,,Hindu,,Indonesian,Football
Tulisa,Blanchard,Locklear,Pomares,Kayky Fernandes de Brito,"Nora Arnezedzer, Nora Uriella Marie Arnezeder, Nora Arnezeder, Nora","24th September, 1990","El Centro, California, USA","5' 8¼"" (173 cm)",111lbs (50 kg),,,Lutheran,,Argentinean,Homemaker
Tomoki,"Charles, Durman",Comeau,Bregoli,Constance Mary Lloyd,"Tápai Szabina, Szabina Tápai, Kucsera-Tápai Szabina, Szabina Kucsera-Tápai","8th January, 1992","Paraíba do Sul, RJ, Brasil","6' 10½"" (210 cm)",169lbs (77 kg),,,Methodist,,Ukrainian,Speed Skater
Alexey,Dell,Hammerstein,Guangco Hudgens,Prudence Anne Villiers Farrow,"Damla Sonmez, Dee","17th July, 1947","San Isidro, Lima, Peru","6' 5¾"" (197 cm)",232lbs (105 kg),,,Satanist,,Swedish,Head of State
Jonatas,Brady,Summerscales,Armstrong,Kirk Bondad Wachsmuth,"Lolita, The Female Valentino, María de los Dolores Asúnsolo y López-Negrete, Dolores Martínez Asúnsolo y López Negrete, Dolores del Río, Dolores Asúnsolo López Negrete","7th March, 1987","Beloit, Wisconsin, USA","7' 2"" (218 cm)",170lbs (77 kg),,,Jewish,,Hungarian,Costume Designer
Manuel Villegas II,Drell,Cindoruk,Thomason,Lazar Meir,"Magdalena Müller, Magdalena Alejandra Müller Varela, Magda Müller, Maida","30th March, 1953","Marcos Juarez, Córdoba, Argentina","5' 10¼"" (178 cm)",257lbs (117 kg),,,Russian Orthodox,,Rwandan,TV News
Cariba,Buckley,Conti,Conti,Frederick Maxwell Karger Jr.,"Chase, Chase Charmayne Sui Wonders, Chase Sui Wonders","13th March, 1931","Tuguegarao, Cagayan, Philippines","6' 8"" (203 cm)",154lbs (70 kg),,,Evangelical,,Dominican,Marketing Professional
Ayisha,Isabella,Cochran,Cochran,"Duncan ""Dick"" Ebersol",Brendon Boone,"20th October, 1952","Manchester, Greater Manchester, England, UK","5' 5"" (165 cm)",284lbs (129 kg),,,Greek Orthodox,,Indian,Diplomat
Ime,D.W.,Inder,Young,Kurt Vogel Russell,Roy J. Adams,"24th April, 1998","Corpus Cristi, Texas","5' 8¾"" (175 cm)",85lbs (39 kg),,,Secular Humanist,,Algerian,Astronomer
Nautica,Louise Christine,Vedder,Gaston,Hilary Ann Swank,"Blanca, Blanca Delfina Soto, Blanca Delfina Soto Benavides, Blanca Soto","6th February, 1954","Budapest, Austria-Hungary","4' 2"" (127 cm)",210lbs (95 kg),,,Born-Again Christian,,Ugandan,First Lady
Berrak,Kyle,Beitzel,Ticotin,Kelly Smith,"Nick Kroll, Nicholas J. Kroll","9th March, 1977","Clifton, New Jersey","3' 10"" (117 cm)",161lbs (73 kg),,,Anglican / Episcopalian,,Liechtensteiner,Soccer
Kiran,Bailey Everett,Solaar,Hozier,Katona Renáta,"Sid, Sidharth Malhotra","16th July, 1967",Artesia california,"4' 8"" (142 cm)",231lbs (105 kg),,,Deist,,Bahraini,Handball
Walter,Castelo,Saluja,Basich,William Samuel Rosenberg,"Veer Singh Bundela, Veer, Nandish Singh","15th March, 1955","Armstrong, British Columbia, Canada","6' 2"" (188 cm)",241lbs (109 kg),,,,,Venezuelan,Criminal
Pepe,Armstrong,Bloor,Vedder,Hubert Prior Vallee,"Brittany Anne Murphy-Monjack, Brittany Anne Bertolotti, Brittany Murphy, Brittany Bertolotti;, Brittany Murphy-Monjack","3rd October, 1972","Nelson, Lancashire, England","4' 7¼"" (140 cm)",317lbs (144 kg),,,,,Tunisian,Linguist
Ayten,Hugh Calum,Callebout,Stroud,Jamarco Montae Gibbs,"Kid Ray, Kid Ray and Raytac, Raytac","17th October, 1969","Tulsa, Oklahoma, United States","5' 9½"" (177 cm)",230lbs (104 kg),,,,,Uzbekistani,Director
Nikoletta,La Mas,Taketa,Austerlitz,Bensu Soral,"Emily Kathleen Anne Mortimer, Emily Mortimer, Emily Nivola","29th April, 1971","Monterey County, California, USA","5' 5½"" (166 cm)",307lbs (139 kg),,,,,Singaporean,Composer
Fai,Christina,Monreal,Grainger,Nicki Lynn Aycox,Tommy Chambers,"24th March, 1971","Shaker Heights, Ohio, USA","6' 2¾"" (190 cm)",124lbs (56 kg),,,,,"Trinidadian, Tobagonian",Bassist
Belgin,Young,Sunga,Jonsson,Wendie Malick,"T.R. Silambarasan, Silambarasan Thesingu Rajendar, Simbu, Silambarasan","14th August, 1984","Midland, Texas,USA","5' 2"" (157 cm)",172lbs (78 kg),,,,,Austrian,Author
Shayna,Gaston,Bosnjak,Woodward,Spencer Haywood,"Carl Harrison, L'Angelo Misterioso, Hari Georgeson, George Harrysong, George O'Hara-Smith, Jairaj Hari san","8th November, 1912","Srinagar, Jammu and Kashmir, India","6' 5½"" (197 cm)",219lbs (99 kg),,,,,Dutch,Novelist
Armando,Mario Pedro,Solomon,McCoy,Ilithya Manzanilla Menéndez,"Becks, Db, Dave, DB7","5th August, 1968","Manly, New South Wales, Australia","4' 4"" (132 cm)",118lbs (54 kg),,,,,Moroccan,Writer
Montanna,Danielle,Gardiner,Walsh,Timothy-James Scott,"Phoebe Dahl, Phoebe Patricia Rose Faircloth, Phoebe Patricia Rose Faircloth Dahl, Phoebe Patricia Faircloth Dahl","11th February, 1917","Armentieres, France","6' 4¾"" (195 cm)",79lbs (36 kg),,,,,Monacan,Golf
Darrelle,Rajinikanth,Luczenko,Ferguson,María Ximena Capristo,"Skydog, Skyman","9th February, 1988","Mandeville Regional Hospital, Mandeville, Manchester, Jamaica","5' 0¼"" (153 cm)",246lbs (112 kg),,,,,"Antiguans, Barbudans",Scriptwriter
Tyrese,Aristides,De Laurentiis,Phleger,Rodrigo Hilbert Alberton,Özge Ulusoy,"17th May, 1981",Johannesburg,"6' 1½"" (187 cm)",370lbs (168 kg),,,,,Namibian,Academic
Jeanne,Sais,Kotwal,Vaniver,Patricia Anne Boyd,Eva Gabor,"4th September, 1970","Amersham, Buckinghamshire, England, UK","6' 4¼"" (194 cm)",159lbs (72 kg),,,,,Danish,Military
Jondelle,Townes,Estrada,Divano,Elizabeth Margaret McClarnon,"Kid Krunk, Kid The Great, iHipster Lee","31st October, 1957","Burnet, Texas, USA","6' 7¾"" (203 cm)",133lbs (60 kg),,,,,Nigerien,Visual Effects
Valerie Sophie Geraldine Christine,Brooks,Kernkamp,Palmer-Tomkinson,Viola Lynn Collins,"Ev, Evy, Eva, Evanna Patricia Lynch, Evanna Lynch","12th September, 1991","Virginia Beach, Virginia, United States","5' 11¼"" (181 cm)",143lbs (65 kg),,,,,Vietnamese,Royalty
Atif,Andrea,Tramp,Tapp,Robert Oliver Reed,Gloria Stavers,"18th March, 1941","Bellefonte, Pennsylvania","5' 7¼"" (171 cm)",150lbs (68 kg),,,,,Lebanese,Electrical Department
Jonahan,Deere,Darrow,Stith,Brendon Boone,"Jasmine, Jasmine Masih, Jasmine Singh Sisodia, Jassi","17th July, 1987","Maces Springs, Virginia, USA","6' 6¾"" (200 cm)",255lbs (116 kg),,,,,Albanian,Cartoonist
Mandala,Annelies,Castione,Estrada,Roy J. Adams,"Dr Mark Redknapp, Dr Mark Redknap, Mark Redknapp","17th November, 1981","Mannheim, Germany",NA,7lbs (3 kg),,,,,German,Fashion Designer
Odessa,Adela,Vitty,Minnillo,James Andrew McAvoy,Kameelah Williams,"25th December, 1913","Gainesville, Texas","6' 2½"" (189 cm)",140lbs (64 kg),,,,,Honduran,Make-Up Artist
Emeraude,Trace,Carreno,Batchelor,Jordyn Blum,"Andy Samberg, Andrew David Samberg","24th March, 1903",Calcutta,"6' 11¼"" (211 cm)",208lbs (94 kg),,,,,Cypriot,Spy
Romaine,Skip,Beattie,Couric,Patrick Afonso Bulus,"Gordon Cliff, Dick Ventuno, Gigi Mai, Charles Aznavour jr.","21st April, 1975","Westport, Massachusetts, USA","4' 3½"" (131 cm)",77lbs (35 kg),,,,,Uruguayan,Fitness Guru
Aneta,Woodward,Merjos,Ussery,Iris Belia Chacón Tapia,L-Train,"2nd September, 1981",Belize City,"6' 3¼"" (191 cm)",291lbs (132 kg),,,,,South African,Music Producer
Baby,Semple,Apostoleanu,Radner,Mary Debra Winger,"The Nuge, Motor City Madman, Uncle Ted, Terrible Ted","18th March, 1886","Saint-Jean-de-Maurienne, France","6' 0½"" (184 cm)",75lbs (34 kg),,,,,Latvian,Explorer
Melanie,Kulbhushan,Wou017aniak-Starak,Bullock,Betty Joan Perske,"Ash, Benzo, AshB, Benz, AshBenzo, Ashley Victoria Benson, Ashley Benson","7th April, 1935","Malaga, Spain","6' 9"" (206 cm)",128lbs (58 kg),,,,,Guatemalan,Personal Trainer
Tameka,McCoy,Moreland,Quick,Mitchell William Miller,Doria Tillier,"19th September, 1958","Skövde, Västra Götalands län, Sweden","6' 0"" (183 cm)",260lbs (118 kg),,,,,Jamaican,Attorney
Yoona,Eigil,Gallego,Ling,John Stephenson Perrin,Joe Ready,"13th June, 1983","Dallas, TX, USA","6' 7"" (201 cm)",148lbs (67 kg),,,,,Grenadian,Painter
Roblé,Margaret Castelo,Shahrivar,Beattie,Anastasia Lehane Karanikolaou,Marcelo Corazza,"7th April, 1913","East Meadow, New York, USA","5' 6¾"" (170 cm)",94lbs (43 kg),,,,,Swiss,Relative
Aubrey,Giavanni,Sükan,Freeman-Mitford,Joseph Xavier Dever,"Francesca Gregorini Starr, Francesca Starr","5th February, 1939","Maglod, Hungary","4' 6"" (137 cm)",48lbs (22 kg),,,,,NA,Performance Artist
Orhan,Ferguson,Lisicki,Walter,Victoria Dawn Justice,"Andrew J. Morley, Andrew Morley","27th August, 1966","Victoria, BC, Canada","6' 0.83468499999999"" (185 cm)",78lbs (35 kg),,,,,Hong Konger,Skating
Marueen,Lee Hom,Del Alamo,McGovern,Cristiana Capotondi,"T-Bone, Tommy Lee Bass","10th November, 1883","Hamilton, New Jersey, USA","2' 2"" (66 cm)",121lbs (55 kg),,,,,Slovakian,Judo
Juan,Solomon,Gonzaga,Roden,Laila Linnea Maria Nyborg,Kiptyn Locke,"29th May, 1932","Łódź, Poland","5' 6¼"" (168 cm)",270lbs (122 kg),,,,,Libyan,Judge
Bryher,Islomovna,Showalter,Deschanel,Michel Jacques Boisrond,Sir Paul,"10th April, 1915","Helensburgh, Scotland, UK","5' 1¼"" (156 cm)",262lbs (119 kg),,,,,Costa Rican,Singer
Jeordie,William Patrick,Bankston,Gonzaga,Margaret Early,"Stassi, Nastassia Bianca Schroeder, Stassi Schroeder, Nastassia Bianca Stassi Schroeder, Stassi Schroeder Clark","30th April, 1918","Boulogne-sur-Mer, Pas-de-Calais, Nord, France","4' 11"" (150 cm)",117lbs (53 kg),,,,,Czech,Art Director
Ursula,Tiggy,Vlasova,Song,Emily Cline,"The Batch, Ben, Bc","26th June, 1939","Claremont, California","4' 10½"" (149 cm)",212lbs (96 kg),,,,,Ethiopian,Production Manager
Jorn,Tapp,Guntas,Wesley,Shannon Marie Kahololani Sossamon,Sheila Mello,"9th January, 1950","New Hope, Pennsylvania, USA","5' 11"" (180 cm)",141lbs (64 kg),,,,,New Zealander,Dancer
Ivor,Zecharius,Saavedra,Crawford,Angela Chittenden,"Cheryl Jean Stoppelmoor, Cheryl Ladd, Cherie Moor","26th January, 1961","Corpus Christi, Texas, USA","5' 1¾"" (157 cm)",184lbs (83 kg),,,,,Bolivian,Philanthropist
OhSoYouJade,Markovna,Montanna,Van Den Herik,Dwight Eversley Yorke,Angel Elizabeth,"8th November, 1966","Steel City, Nebraska","5' 10¾"" (180 cm)",116lbs (53 kg),,,,,Chinese,Football AFL
Marilee,Johannes,Frehley,Bowen,Erika Wagenius,"Kapil Punj, Kapil Sharma","15th March, 1946","Malingap St., Manila, Philippines","4' 11½"" (151 cm)",60lbs (27 kg),,,,,Turkish,Nurse
Leasi,Dmitryevich,Flay,Hilfiger,Anna Katharina Von Staehle,"María Fernanda Yépes Alzate, María Fernanda Yépez","15th January, 1962","Durango, Mexico","4' 10"" (147 cm)",139lbs (63 kg),,,,,Angolan,Auto Racing
Paula,Lafuente,Shafransky,Salazar,Ismael Zhu Li,"Michael Strange, Blanche Marie Louise Oelrichs, Blanche Oelrichs","15th December, 1983","Sialkot, Punjab, Pakistan","6' 11"" (211 cm)",100lbs (45 kg),,,,,Portuguese,Psychologist
Polina,Hollinger,Cocci,Gábor,María Carmina Muñiz Villarroel-Legaspi,Julia Kelly,"9th May, 1900","Sremska Mitrovica, Serbia","5' 6"" (168 cm)",234lbs (106 kg),,,,,Aruban,Historian
Anka,Eyre,McHenry,Ventura,Ashley Boalch,"Duggy, Ximena Duggan, Ximena Calleros Duggan, Ximena Calleros Ríos","4th August, 1916","Eastleigh, Hampshire","5' 5¾"" (167 cm)",125lbs (57 kg),,,,,Japanese,Advertising Professional
Ginger,Deshon,Dimitrov,Barroso,Michael Lamar White IV,"Karl, Dom","11th August, 1974","Stevenage, Hertfordshire, England, UK","5' 1½"" (156 cm)",63lbs (29 kg),,,,,Kenyan,Educator
Fulvio,Henry Mikael,Peluso,Hinze,Zachary Sami Lichman,"Gise, La Bundchen, The Midas Queen, The Hurricane Gisele, The Body, Gisele Bündchen","6th November, 1948","Brownsburg, Indiana, USA","5' 0¾"" (154 cm)",153lbs (69 kg),,,,,Moldovan,Boxing
Tess,Madeline,Ilschenko,Dee,Vita Sidorkina,"Asian Da Brat, Asian Doll, Da Doll, Asian","13th March, 1974","Salerno, Italy","4' 3"" (130 cm)",112lbs (51 kg),,,,,Qatari,Disc Jockey
Ariadna,Bett,Gossett Jr.,Ronstadt,Megan Marsicano,"Elaine Cancilla Orbach, Elaine Orbach, Elaine Cancilla, Elaine Cancilla-Orbach","17th July, 1980","Buenos Aires, Argenina","5' 3½"" (161 cm)",303lbs (137 kg),,,,,Welsh,Canoeist
